"input_names","Common_Name","Taxa","Binomial","class","order","family"
"Echinodermata","Purple sea urchin",NA,NA,"Echinoidea",NA,NA
"Enomopletapus","Purple lobster","Crustacea","Enoplometopus","Malacostraca","Decapoda","Enoplometopidae"
"Escenius goby","Pictus goby",NA,"Ecsenius pictus","Actinopterygii","Blenniiformes","Blenniidae"
"Escenius sp.midas","Blue goby",NA,"Ecsenius midas","Actinopterygii","Blenniiformes","Blenniidae"
"Euxipipop navarchus","Mayestic angell",NA,"Pomacanthus navarchus","Actinopterygii","Acanthuriformes","Pomacanthidae"
"Fusilier damsel",NA,NA,"Lepidozygus tapeinosoma","Actinopterygii","Ovalentaria incertae sedis","Pomacentridae"
"Getrine orientalius","Oriental sweetlips",NA,"Plectorhinchus vittatus","Actinopterygii","Eupercaria incertae sedis","Haemulidae"
"Gobiodes brussonetti","Dragon gobies",NA,"Gobioides broussonnetii","Actinopterygii","Gobiiformes","Gobiidae"
"Goboides brussonetti","Dragon gobies",NA,"Gobioides broussonnetii","Actinopterygii","Gobiiformes","Gobiidae"
"Gormorphia savig","Galaxy batik star",NA,NA,NA,NA,NA
"Gymnothorax nebulosa","Snowflake moray",NA,"Echidna nebulosa","Actinopterygii","Anguilliformes","Muraenidae"
"Gymnothorax prosopeion","White eye moray eel","Fish","Gymnothorax thyrsoideus","Actinopterygii","Anguilliformes","Muraenidae"
"Hemibalistes Chryosopteras","White lined trigger fish",NA,"Sufflamen chrysopterum","Actinopterygii","Tetraodontiformes","Balistidae"
"Hemiptoronotus","Razor goby","Fish",NA,"Actinopterygii","Gobiiformes","Gobiidae"
"Hephithea erecta","Tree soft coral",NA,NA,NA,NA,NA
"Hermits crab","Small hermits crab",NA,NA,"Malacostraca","Decapoda",NA
"Hernorhamhodon pogonognat","Malayan halfbeak",NA,"Hemirhamphodon pogonognathus","Actinopterygii","Beloniformes","Zenarchopteridae"
"Heteractis Crispa","Sebae Anemone","Coral","Radianthus crispa","Hexacorallia","Actiniaria","Stichodactylidae"
"Heteractis qagnifica","Heteractis ritteri colored",NA,"Radianthus","Hexacorallia","Actiniaria","Stichodactylidae"
"Hybrid cichlid","Purple blood parrot","Fish",NA,"Actinopterygii","Cichliformes","Cichlidae"
"Hybrid cichlid","Blood parrot",NA,NA,"Actinopterygii","Cichliformes","Cichlidae"
"Hybrid cichlid","Purple blood parrot",NA,NA,"Actinopterygii","Cichliformes","Cichlidae"
